Id;Name;Club Playing;Club Contracted;Positions Short;Age;Handedness;Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
7980;Artyom Minulin;Anaheim Ducks;Anaheim Ducks;RD;21;Right Handed;5;20;16;4;6;11;6;11;2;12;10;6;19;20;7;9;14;19;7;9;1;9;11;16;19;5;7;5;1;1;1;1;1;
7981;Rudolf Birner;HC Sparta Praha U16;HC Sparta Praha U16;C;15;Right Handed;34;14;5;14;11;16;10;9;12;12;6;9;7;5;9;5;11;5;9;8;10;8;9;6;5;3;8;4;1;1;1;1;1;
7982;Daniil Miromanov;Dynamo Balashikha;Dynamo Balashikha;RW;23;Right Handed;62;15;4;12;11;11;4;8;12;9;8;9;6;4;10;7;9;6;11;6;4;11;8;7;6;6;7;11;1;1;1;1;1;
7983;Andrei Mironov;Ak Bars Kazan;Ak Bars Kazan;LD, RD;26;Left Handed;0;7;11;7;9;8;13;13;10;12;11;9;11;15;11;12;10;12;7;7;1;6;9;11;14;11;8;7;1;1;1;1;1;
7984;Maxim Mishakov;HK Tambov;HK Tambov;LD;22;Left Handed;0;17;3;4;10;10;10;8;1;13;9;7;14;7;13;11;7;11;3;3;1;3;2;9;10;1;2;2;1;1;1;1;1;
7985;Georgy Misharin;SKA-Neva St. Petersburg;SKA-Neva St. Petersburg;LD, RD;35;Left Handed;15;11;13;8;5;5;8;7;6;5;9;5;6;8;11;12;9;10;1;5;1;7;10;10;11;5;10;6;1;1;1;1;1;
7987;Evgeny Mityakin;Izhstal Izhevsk;Izhstal Izhevsk;LW, C, RW;22;Left Handed;0;9;8;10;14;7;10;8;11;10;10;9;7;6;10;8;10;5;11;6;13;3;8;3;4;6;7;9;1;1;1;1;1;
7988;Nikita Moiseyev;Juopude LRK;Juopude LRK;RD;23;Left Handed;0;8;4;7;9;4;11;8;7;5;10;7;3;1;6;7;17;2;3;4;2;8;7;6;5;5;7;7;1;1;1;1;1;
7990;Nikolai Molkov;Metallurg Magnitogorsk;Metallurg Magnitogorsk;G;25;Left Handed;0;9;14;8;19;8;16;20;1;17;11;9;14;1;7;7;7;1;1;1;1;1;9;11;17;1;6;1;12;13;12;8;11;
7991;Denis Morozov;Nashville Predators;Nashville Predators;LW;21;Left Handed;0;12;8;10;8;14;13;13;15;12;14;13;11;11;15;17;9;9;11;14;8;13;10;8;8;13;13;14;1;1;1;1;1;
7992;Adam Movsarov;HK Tambov;HK Tambov;RW;22;Right Handed;0;12;2;13;3;7;12;8;14;7;9;5;7;2;5;10;4;3;5;10;2;7;6;1;2;6;5;9;1;1;1;1;1;
7994;Danil Mukhamedzyanov;Altai Barnaul;Altai Barnaul;C;23;Left Handed;0;13;2;11;7;12;5;4;11;6;8;4;6;1;5;5;7;1;7;9;9;7;2;1;2;10;6;11;1;1;1;1;1;
7996;Alexei Murygin;Lokomotiv Yaroslavl;Lokomotiv Yaroslavl;G;33;Left Handed;30;19;13;12;13;10;13;12;1;13;11;10;6;1;12;15;5;1;1;1;1;1;10;10;15;1;10;1;15;16;13;15;15;
7997;Damir Musin;SKA-Neva St. Petersburg;SKA Saint-Petersburg;LD;25;Left Handed;0;14;7;5;6;6;9;8;5;10;10;8;10;8;9;8;7;10;5;5;3;7;11;10;10;8;6;5;1;1;1;1;1;
7998;Radion Musin;Zauralie Kurgan;Zauralie Kurgan;G;22;Left Handed;0;9;8;5;18;7;15;14;1;8;11;12;14;1;5;8;7;1;1;1;1;1;4;6;12;1;3;1;6;5;6;3;9;
7999;Dmitri Muzhikov;Ermak Angarsk;Ermak Angarsk;RD;22;Right Handed;0;9;8;3;7;8;6;6;3;4;6;8;14;11;8;10;8;8;1;2;1;1;1;9;8;1;1;1;1;1;1;1;1;
8000;Igor Myasishchev;St. Louis Blues;St. Louis Blues;LD;23;Right Handed;0;13;14;11;13;7;15;15;9;20;12;12;14;7;13;15;16;8;9;10;1;16;16;12;9;11;13;15;1;1;1;1;1;
8002;Zach Letowski;Stouffville Spirit;Stouffville Spirit;LD;16;Left Handed;7;14;8;8;9;16;7;5;7;7;4;7;5;4;9;9;11;4;3;6;2;7;6;1;2;7;4;8;1;1;1;1;1;
8003;Ivan Nalimov;CSKA Moscow;CSKA Moscow;G;26;Left Handed;25;7;8;10;13;7;14;14;1;14;8;13;12;1;8;11;18;1;1;1;1;1;10;9;13;1;10;1;14;14;10;10;15;
8005;Vladislav Namestnikov;Calgary Flames;Calgary Flames;LW, C;27;Left Handed;90;13;9;12;7;13;10;10;12;12;15;14;10;8;13;11;8;15;12;11;11;14;15;13;15;9;13;14;1;1;1;1;1;
8006;Eduard Nasybullin;Metallurg Novokuznetsk;Metallurg Novokuznetsk;LD, RD;24;Right Handed;30;14;13;12;8;10;14;13;13;13;11;11;11;8;11;13;9;10;8;10;6;13;11;10;6;15;11;12;1;1;1;1;1;
8007;Mikhail Naumenkov;Metallurg Novokuznetsk;Metallurg Novokuznetsk;LD, RD;27;Left Handed;0;14;15;10;12;11;11;9;10;14;11;10;12;11;11;12;11;10;7;7;2;8;7;11;12;13;4;8;1;1;1;1;1;
8008;Ilya Nazarevich;Dynamo Moscow;Dynamo Moscow;LD, RD;28;Left Handed;0;13;7;5;6;5;12;8;5;11;10;10;9;13;10;12;11;15;6;7;2;5;7;14;15;11;7;9;1;1;1;1;1;
8009;Yevgeni Nazarkin;TMH Polonia Bytom;TMH Polonia Bytom;LD;23;Left Handed;0;11;11;7;9;8;8;8;9;7;8;8;8;7;9;9;13;7;5;7;1;10;9;3;6;9;7;7;1;1;1;1;1;
8011;Yegor Nazarov;Metallurg Zhlobin;Metallurg Zhlobin;G;25;Left Handed;0;9;6;6;5;7;7;5;1;6;5;6;8;1;5;14;5;1;1;1;1;1;3;11;9;1;5;1;9;8;6;8;8;
8012;Arkhip Nekolenko;Severstal Cherepovets;Severstal Cherepovets;LW, RW;24;Right Handed;0;12;7;10;3;9;11;9;13;8;9;7;8;8;6;9;10;5;11;5;7;10;12;1;7;8;6;7;1;1;1;1;1;
8013;Ilya Nekolenko;THK Tver;THK Tver;LD, RD;27;Left Handed;0;14;10;9;13;6;12;10;7;12;12;15;10;15;10;13;18;13;8;7;4;7;6;9;11;7;7;8;1;1;1;1;1;
8014;Artyom Nekrasov;CSK VVS Samara;CSK VVS Samara;LD, RD;24;Left Handed;0;11;2;6;7;16;8;9;8;8;5;9;6;3;8;8;8;3;4;6;3;6;9;5;6;8;6;8;1;1;1;1;1;
8015;Alexander Nesterov;SKA-Neva St. Petersburg;SKA-Neva St. Petersburg;RW;34;Left Handed;16;20;9;8;11;10;6;13;8;13;11;11;7;6;11;7;4;10;8;10;6;7;9;8;12;9;10;9;1;1;1;1;1;
8016;Nikita Nesterov;Chicago Blackhawks;Chicago Blackhawks;LD;27;Left Handed;89;13;15;10;10;8;7;11;8;10;9;10;10;15;10;11;9;14;8;12;1;9;13;13;16;10;12;10;1;1;1;1;1;
8017;Valeri Nichushkin;Dallas Stars;Dallas Stars;LW, RW;25;Left Handed;43;15;9;10;11;15;9;11;12;12;14;13;13;13;15;11;14;10;15;16;7;11;14;12;10;12;15;15;1;1;1;1;1;
8018;Vladimir Nikiforov;Izhstal Izhevsk;Izhstal Izhevsk;LW, RW;32;Left Handed;71;6;8;12;9;9;8;10;13;10;10;10;6;4;9;12;3;5;7;9;3;8;8;6;7;6;7;9;1;1;1;1;1;
8019;Nikita Nikitin;CSKA Moscow;CSKA Moscow;LD;34;Left Handed;8;7;6;13;11;13;10;12;13;12;11;10;14;8;13;14;15;10;8;11;5;8;11;12;13;13;12;8;1;1;1;1;1;
8020;Ilya Nikolayev;Avtomobilist Ekaterinburg;Avtomobilist Ekaterinburg;C, RW;26;Left Handed;95;14;7;10;9;12;8;11;10;16;9;8;9;9;9;10;13;11;5;9;14;9;11;11;13;7;7;9;1;1;1;1;1;
8021;Roman Nikolayev;Shakhter Soligorsk;Shakhter Soligorsk;RW;24;Left Handed;0;18;2;10;1;18;4;9;10;4;4;6;6;1;7;6;14;6;9;11;3;10;4;5;7;11;7;12;1;1;1;1;1;
8023;Ivan Nikolishin;Amur Khabarovsk;Amur Khabarovsk;C;24;Left Handed;13;9;7;10;9;15;11;13;12;10;9;10;6;5;9;10;4;6;4;11;8;7;10;6;6;4;10;9;1;1;1;1;1;
8024;Alexander Nikulin;Shakhter Soligorsk;Shakhter Soligorsk;LW, C;35;Left Handed;12;13;10;12;12;10;10;11;13;10;6;10;4;6;10;7;7;7;9;10;14;11;11;6;9;4;9;8;1;1;1;1;1;
8025;Justin Moore;Hamline Pipers;Hamline Pipers;G;17;Left Handed;32;13;2;4;8;8;7;14;1;10;1;15;8;1;6;12;1;1;1;1;1;1;3;3;4;1;3;1;3;3;1;7;5;
8026;Jordan Jones;Winchendon School;Winchendon School;RD;16;Right Handed;4;18;1;3;7;5;4;5;4;7;5;10;12;7;8;5;5;8;3;2;1;3;2;9;5;2;4;2;1;1;1;1;1;
8027;Pavel Novozhilov;Torpedo Nizhny Novgorod;Torpedo Nizhny Novgorod;LW, RW;24;Left Handed;0;19;8;10;8;7;8;8;15;9;8;11;6;6;7;10;17;6;14;6;4;7;5;2;5;10;4;13;1;1;1;1;1;
8028;Kip Cain;Medicine Hat Tigers;Medicine Hat Tigers;LW, C;15;Left Handed;73;14;2;4;15;8;6;12;4;14;8;8;8;9;11;13;9;10;5;6;7;7;6;9;10;4;6;7;1;1;1;1;1;
8029;Ozren Mitrovic;KHL Zagreb Jrs;KHL Zagreb Jrs;RW;15;Right Handed;52;11;12;10;7;10;2;6;2;6;7;9;4;6;7;6;7;1;8;6;2;6;6;1;2;6;3;5;1;1;1;1;1;
8030;Yegor Ogiyenko;Chelmet Chelyabinsk;Chelmet Chelyabinsk;LD;24;Right Handed;0;18;2;8;8;4;6;4;8;4;7;8;6;2;6;10;7;2;4;6;1;9;9;7;6;6;7;8;1;1;1;1;1;
8031;Sergei Ogorodnikov;Dinamo Minsk;Dinamo Minsk;LW, C;34;Left Handed;10;14;9;10;9;11;10;8;11;10;6;8;6;5;7;8;6;9;3;5;12;7;10;7;12;4;7;7;1;1;1;1;1;
8032;Nikolai Okhlobystin;Ratinger Ice Aliens 97;Ratinger Ice Aliens 97;RW;32;Left Handed;40;6;6;8;6;9;7;8;9;7;8;6;2;5;4;2;10;4;7;6;3;4;5;6;5;6;5;6;1;1;1;1;1;
8033;Konstantin Okulov;Sibir Novosibirsk Oblast;Sibir Novosibirsk Oblast;LW, C, RW;25;Left Handed;0;14;6;13;8;14;11;14;15;13;12;12;9;8;12;13;7;8;9;16;7;14;12;9;9;10;16;14;1;1;1;1;1;
8036;Dmitry Orlov;Washington Capitals;Washington Capitals;LD;29;Left Handed;9;13;13;12;12;16;10;13;10;15;15;14;10;15;13;13;13;13;8;17;6;13;15;15;15;14;15;12;1;1;1;1;1;
8037;Robbie Cooper;Indiana Jr. Ice U18;Indiana Jr. Ice U18;LD, RD;17;Left Handed;33;12;3;6;18;11;11;17;4;19;9;7;11;7;9;10;7;10;4;3;1;5;1;10;10;3;5;1;1;1;1;1;1;
8038;Sergei Orlov;HK Cheboksary;HK Cheboksary;RD;22;Right Handed;0;9;9;5;4;2;3;9;1;14;5;3;14;13;8;8;17;9;2;4;1;3;2;8;12;4;1;1;1;1;1;1;1;
8039;Alexander Osipov;Dynamo Moscow;Dynamo Moscow;LD;31;Right Handed;0;15;11;14;10;11;14;12;12;14;12;11;13;14;12;15;15;12;9;6;3;11;12;11;13;19;11;11;1;1;1;1;1;
8040;Dmitri Osipov;Khimik Voskresensk;Khimik Voskresensk;RD;23;Right Handed;22;11;5;5;5;9;10;5;6;10;9;7;13;11;7;8;14;12;3;6;1;4;9;10;10;1;5;2;1;1;1;1;1;
8041;Vyacheslav Osnovin;Spartak Moscow;Spartak Moscow;C;26;Left Handed;0;13;9;10;7;13;14;11;11;11;9;10;9;9;10;11;10;11;6;11;14;10;12;8;13;6;9;11;1;1;1;1;1;
8042;Alexander Ovechkin;Edmonton Oilers;Edmonton Oilers;LW, RW;34;Right Handed;8;16;13;15;13;20;18;14;16;12;18;15;18;16;18;18;19;14;13;16;6;16;15;12;10;20;17;20;1;1;1;1;1;
8043;Alexei Ozhgikhin;Traktor Chelyabinsk;Traktor Chelyabinsk;LW, RW;22;Left Handed;0;12;9;10;10;9;8;12;7;13;10;10;12;11;10;14;15;11;10;7;3;8;7;10;11;6;8;9;1;1;1;1;1;
8044;Igor Ozhiganov;CSKA Moscow;CSKA Moscow;LD, RD;27;Right Handed;0;13;13;11;12;8;14;13;12;12;13;13;13;14;13;13;16;12;8;6;2;9;11;13;14;15;10;10;1;1;1;1;1;
8045;Ziyat Paigin;Sibir Novosibirsk Oblast;Sibir Novosibirsk Oblast;RD;25;Left Handed;0;11;12;12;12;10;15;13;12;14;13;13;13;14;12;13;15;15;7;10;2;12;12;12;15;12;9;9;1;1;1;1;1;
8046;Artemi Panarin;Chicago Blackhawks;Chicago Blackhawks;LW, RW;28;Right Handed;72;18;8;17;13;19;12;15;18;14;16;17;13;8;16;17;9;10;14;19;9;14;17;14;12;13;18;18;1;1;1;1;1;
8047;Grigory Panin;Dynamo St. Petersburg;Dynamo St. Petersburg;LD, RD;34;Left Handed;75;11;16;8;11;5;11;10;7;12;12;9;10;14;12;14;9;12;3;3;2;4;9;11;13;11;7;6;1;1;1;1;1;
8048;Alexander Pankov;Lada Togliatti;Lada Togliatti;RW;28;Left Handed;74;15;6;10;7;11;12;10;10;10;12;11;12;7;13;12;11;7;8;12;7;12;9;6;9;9;10;12;1;1;1;1;1;
8049;Semyon Pankratov;HC Panter Tallinn;HC Panter Tallinn;C;22;Left Handed;0;17;3;13;18;10;12;19;13;19;4;4;6;1;8;9;17;5;1;1;6;5;5;4;7;2;2;5;1;1;1;1;1;
8050;Dylan Eberly;Fitchburg State Falcons;Fitchburg State Falcons;C;18;Right Handed;65;16;5;3;14;10;11;14;3;13;8;6;10;5;13;12;11;10;4;5;8;5;7;10;10;1;5;3;1;1;1;1;1;
8053;Denis Parshin;SKA-Neva St. Petersburg;SKA-Neva St. Petersburg;LW, RW;34;Left Handed;27;12;13;12;9;12;8;8;12;12;11;12;5;5;11;12;4;6;7;11;3;11;12;5;7;6;12;11;1;1;1;1;1;
8054;Mikhail Pashnin;Avtomobilist Ekaterinburg;Avtomobilist Ekaterinburg;LD, RD;31;Left Handed;3;14;13;9;12;6;14;13;11;9;9;11;10;17;10;12;10;16;6;6;3;8;10;14;15;11;7;7;1;1;1;1;1;
8055;Elöd Istvan Flinta;HC Sportul Studentesc Bucuresti;HC Sportul Studentesc Bucuresti;LD;21;Right Handed;7;12;13;12;6;6;9;10;11;9;1;4;2;3;1;3;5;3;4;3;1;5;5;3;2;5;3;4;1;1;1;1;1;
8056;Nikita Pavlychev;Sputnik Nizhny Tagil;Sputnik Nizhny Tagil;C;23;Left Handed;0;18;2;3;14;5;11;10;15;12;12;7;8;2;14;14;10;8;9;6;11;12;7;4;8;9;6;12;1;1;1;1;1;
8057;Alexander Pechursky;UKH Debica;UKH Debica;G;30;Left Handed;20;11;7;9;10;11;7;6;1;9;4;11;9;1;4;11;11;1;1;1;1;1;6;5;9;1;6;1;8;8;7;7;10;
8058;Andrey Pedan;Lada Togliatti;Lada Togliatti;LD;27;Left Handed;37;13;11;7;10;6;7;9;6;8;12;9;9;13;12;8;13;12;7;7;1;7;9;11;12;12;8;8;1;1;1;1;1;
8059;Alexander Perezhogin;EV Zug;EV Zug;LW, RW;37;Left Handed;37;13;7;13;8;16;14;10;14;12;10;9;6;8;9;7;5;11;9;15;8;14;15;11;12;11;15;15;1;1;1;1;1;
8060;Andrei Pervyshin;Vityaz Moscow Oblast;Vityaz Moscow Oblast;LD, RD;35;Left Handed;9;12;8;10;11;8;7;7;8;11;11;5;10;10;13;11;4;14;5;5;1;6;8;13;14;10;8;8;1;1;1;1;1;
8061;Jonatan Sandberg;Brynäs IF J16;Brynäs IF J16;LD;15;Left Handed;29;12;2;11;7;6;9;18;9;13;3;5;4;1;6;9;5;2;5;7;1;6;6;3;1;4;5;6;1;1;1;1;1;
8062;Ruslan Petrishchev;---;---;LD;23;Left Handed;0;18;9;4;1;8;1;7;2;5;6;5;5;5;8;11;11;6;5;5;2;5;4;5;5;4;5;5;1;1;1;1;1;
8063;Kirill Petrov;Metallurg Magnitogorsk;Metallurg Magnitogorsk;LW, RW;30;Left Handed;90;12;7;14;10;14;9;11;12;12;14;13;11;11;13;12;14;12;13;14;8;11;12;11;11;10;13;14;1;1;1;1;1;
8064;Canon Irwin;Guelph Storm;Guelph Storm;C, RW;16;Right Handed;75;12;1;8;9;5;7;9;11;14;11;8;7;4;10;12;8;7;8;6;3;10;7;5;6;7;8;10;1;1;1;1;1;
8065;Alexander Petunin;THK Tver;THK Tver;C;23;Left Handed;0;16;12;2;5;9;2;12;2;17;7;6;5;6;9;7;7;8;4;6;8;5;6;8;8;3;5;5;1;1;1;1;1;
8066;Kirill Pilipenko;Dynamo Moscow;Dynamo Moscow;RW;23;Left Handed;0;16;4;16;17;8;9;10;16;12;14;8;7;5;14;9;5;8;9;16;4;13;10;8;7;10;11;13;1;1;1;1;1;
8068;Nikita Pivtsakin;CSKA Moscow;CSKA Moscow;LD, RD;29;Left Handed;91;16;13;11;13;9;15;15;11;16;12;11;13;12;12;13;8;13;7;9;2;10;11;12;15;13;10;10;1;1;1;1;1;
8069;Alexei Platonov;Toros Neftekamsk;Toros Neftekamsk;LD, RD;23;Left Handed;5;13;2;6;14;3;10;12;4;11;4;10;9;7;3;11;14;7;3;6;3;6;3;4;8;4;4;4;1;1;1;1;1;
8070;Drayson Herrington;Shattuck-St. Mary's;Shattuck-St. Mary's;C;13;Left Handed;79;12;5;12;17;9;12;19;4;16;8;6;4;3;9;8;4;3;6;7;5;7;5;3;4;4;6;6;1;1;1;1;1;
8071;Andrei Plekhanov;Metallurg Novokuznetsk;Metallurg Novokuznetsk;RD;34;Right Handed;0;14;10;9;13;8;12;8;8;10;10;10;10;11;12;13;13;8;7;8;3;10;6;7;9;14;7;8;1;1;1;1;1;
8072;Sergei Plotnikov;Traktor Chelyabinsk;Traktor Chelyabinsk;LW, RW;30;Left Handed;61;14;12;9;11;10;12;11;11;8;11;10;10;14;11;11;13;12;10;13;3;9;13;11;14;11;13;12;1;1;1;1;1;
8073;Markus Seidl;EC Graz 99ers;EC Graz 99ers;LW, RW;20;Left Handed;11;13;11;1;5;7;8;1;1;6;8;6;11;8;7;10;19;8;6;2;1;2;4;4;5;1;4;2;1;1;1;1;1;
8074;Alexander Podkorytov;Traktor Chelyabinsk;Traktor Chelyabinsk;LW, RW;22;Right Handed;0;14;1;17;12;6;10;11;15;14;13;4;8;4;11;10;12;8;11;14;7;14;12;9;8;11;11;12;1;1;1;1;1;
8075;Pavel Podluboshnov;Ermak Angarsk;Ermak Angarsk;LW;23;Right Handed;0;11;3;17;11;6;13;14;17;8;12;11;8;3;13;10;5;6;9;10;4;12;9;7;7;9;8;12;1;1;1;1;1;
8076;Artyom Podshendyalov;HC Sochi;HC Sochi;LW, RW;30;Left Handed;0;12;8;12;6;12;12;11;13;10;14;14;10;8;14;12;9;5;8;12;5;10;10;8;11;9;11;11;1;1;1;1;1;
8077;Vladislav Podyapolsky;HK Sarov;Torpedo Nizhny Novgorod;G;25;Left Handed;0;6;9;8;9;9;9;9;1;11;6;10;14;1;6;14;4;1;1;1;1;1;9;11;14;1;8;1;11;11;10;9;12;
8079;Pavel Poluektov;Barys Astana;Barys Astana;G;28;Left Handed;0;14;3;10;11;8;10;12;1;12;11;12;12;1;13;12;9;1;1;1;1;1;8;9;15;1;7;1;13;14;12;12;15;
8080;Alexander Polunin;Molot-Prikamie Perm;Molot-Prikamie Perm;LW, RW;23;Right Handed;0;6;7;8;6;14;5;7;9;8;11;9;7;4;10;10;5;3;2;10;1;10;9;6;4;11;11;11;1;1;1;1;1;
8082;Harry Ryan;Northern Michigan Wildcats;Northern Michigan Wildcats;RW;17;Right Handed;17;12;11;1;5;10;5;7;2;12;8;8;7;7;11;9;8;9;3;6;2;3;7;8;8;2;4;5;1;1;1;1;1;
8083;Andrei Popov;Ak Bars Kazan;Ak Bars Kazan;RW;32;Left Handed;9;10;9;14;13;9;12;10;12;12;12;13;14;10;13;12;11;9;11;14;5;14;11;7;9;11;13;14;1;1;1;1;1;
8084;Egor Popov;Molot-Prikamie Perm;Molot-Prikamie Perm;RW;23;Right Handed;71;12;5;11;6;6;3;8;10;5;6;6;4;1;7;9;5;4;6;13;3;12;8;2;3;7;9;10;1;1;1;1;1;
8085;Nikita A. Popugayev;Anaheim Ducks;Anaheim Ducks;LW;21;Right Handed;29;19;2;15;9;7;13;7;15;13;15;11;10;11;15;17;9;6;9;15;6;13;11;9;7;7;13;11;1;1;1;1;1;
8086;Nikita O. Popugayev;Winnipeg Jets;Winnipeg Jets;LW, RW;22;Left Handed;0;17;3;15;1;12;7;7;11;9;14;9;8;4;14;10;5;5;11;13;5;12;6;7;8;12;12;15;1;1;1;1;1;
8087;Pavel Poryadin;SKA Saint-Petersburg;SKA Saint-Petersburg;LW, RW;24;Left Handed;0;6;10;11;8;17;9;11;11;8;10;5;5;6;10;11;6;7;12;11;5;13;6;5;3;15;10;12;1;1;1;1;1;
8089;Bogdan Potekhin;Vityaz Moscow Oblast;Vityaz Moscow Oblast;LW, RW;28;Left Handed;0;14;7;11;13;10;14;8;11;12;12;12;9;11;12;11;10;8;12;12;5;10;8;7;10;10;10;13;1;1;1;1;1;
8090;Brooks Wilkins;Ottawa 67s;Ottawa 67s;LD;18;Left Handed;22;17;7;6;20;6;6;9;10;9;7;3;7;7;7;12;10;7;6;8;2;7;9;7;4;3;5;6;1;1;1;1;1;
8092;Nikolai Prokhorkin;St. Louis Blues;St. Louis Blues;LW, C;26;Left Handed;0;15;9;14;11;13;15;14;14;14;13;12;12;13;13;13;13;13;12;15;18;15;17;12;17;12;15;14;1;1;1;1;1;
8093;Adrian Wheeler;Morrisville State Mustangs;Morrisville State Mustangs;G;18;Left Handed;36;13;1;4;6;6;7;8;1;6;4;16;11;1;4;12;1;1;1;1;1;1;4;5;7;1;3;1;8;4;1;9;5;
8095;Alexander Protapovich;Rubin Tyumen;Yugra Khanty-Mansiysk;C, RW;24;Right Handed;17;14;6;11;4;18;8;10;11;5;8;9;8;10;8;6;11;6;11;5;11;12;5;1;1;6;5;5;1;1;1;1;1;
8096;Vladislav Provolnev;Metallurg Novokuznetsk;Metallurg Novokuznetsk;LD, RD;25;Left Handed;0;17;10;7;12;6;11;13;7;13;10;9;13;14;12;9;11;13;7;6;3;9;7;13;13;7;7;7;1;1;1;1;1;
8097;Ivan Provorov;Philadelphia Flyers;Philadelphia Flyers;LD;23;Left Handed;9;18;9;13;9;16;8;14;14;14;15;16;13;11;14;13;11;14;8;12;4;14;18;15;16;16;16;13;1;1;1;1;1;
8098;Nikita Pukhov;Torpedo Nizhny Novgorod;Torpedo Nizhny Novgorod;RW;25;Right Handed;0;9;3;12;9;8;5;6;10;9;9;9;7;6;10;9;8;11;6;11;6;12;13;9;13;7;14;9;1;1;1;1;1;
8099;Alexander Radulov;Minnesota Wild;Minnesota Wild;RW;34;Left Handed;47;14;16;16;12;18;15;14;17;12;13;12;14;14;13;13;12;11;12;15;7;15;17;9;10;12;16;14;1;1;1;1;1;
8100;Dave Knowlton;Soo Indians 18U;Soo Indians 18U;LD;16;Left Handed;4;11;6;2;17;10;9;12;5;9;5;6;8;9;8;9;13;9;2;1;1;3;3;7;8;1;1;3;1;1;1;1;1;
8101;Rushan Rafikov;Lokomotiv Yaroslavl;Lokomotiv Yaroslavl;LD;25;Left Handed;0;16;7;10;8;11;11;13;12;13;11;10;11;12;11;12;14;14;6;10;3;10;12;13;13;11;11;9;1;1;1;1;1;
8103;Maxim Rasseikin;Khimik Voskresensk;Khimik Voskresensk;C;22;Left Handed;0;11;1;13;6;5;6;1;11;6;12;9;7;2;7;14;5;5;9;14;10;12;7;5;4;7;7;10;1;1;1;1;1;
8104;Kirill Rasskazov;Avtomobilist Ekaterinburg;Avtomobilist Ekaterinburg;C;28;Left Handed;0;14;6;14;10;14;11;13;15;12;12;12;11;9;13;14;10;9;8;14;17;13;14;9;11;10;15;13;1;1;1;1;1;
8105;Artem Rasulov;HC Panter Tallinn;HC Panter Tallinn;LW, RW;24;Left Handed;22;13;10;6;5;11;7;7;11;6;3;5;1;4;6;7;10;4;9;7;1;9;5;3;3;5;4;5;1;1;1;1;1;
8107;Valentin Razumnyak;CBR Brave;CBR Brave;LW;23;Right Handed;0;11;1;8;2;7;4;5;6;1;7;7;4;1;3;3;9;1;9;10;2;8;4;3;2;11;6;10;1;1;1;1;1;
8108;Eduard Reizvikh;MHC Martin;MHC Martin;G;29;Left Handed;0;7;5;6;11;6;9;13;1;8;9;11;13;1;12;8;4;1;1;1;1;1;7;4;9;1;4;1;7;7;6;7;6;
8109;Dmitri Rodionychev;Sputnik Nizhny Tagil;Sputnik Nizhny Tagil;LD, RD;21;Right Handed;0;19;13;5;9;6;13;15;3;10;10;9;14;12;10;10;18;13;3;5;1;4;3;11;12;2;3;2;1;1;1;1;1;
8110;Vladislav Rodnov;Chelmet Chelyabinsk;Chelmet Chelyabinsk;LW, RW;24;Right Handed;0;13;4;11;3;8;12;9;12;9;7;10;5;1;7;10;4;4;4;11;3;9;7;4;5;6;6;7;1;1;1;1;1;
8112;Ivan Romanov;Neman Grodno-2;Neman Grodno-2;LW, RW;22;Left Handed;0;12;5;13;4;4;3;6;6;7;8;8;6;1;5;6;6;1;9;9;3;9;2;2;1;8;5;10;1;1;1;1;1;
8113;Gabe Sweatt;Arizona State Sun Devils;Arizona State Sun Devils;C;18;Left Handed;56;6;7;12;6;10;11;3;6;4;7;9;9;6;7;9;11;4;7;3;5;6;3;3;4;6;3;7;1;1;1;1;1;
8117;Mark Rozanov;Toros Neftekamsk;Salavat Yulaev Ufa;C;23;Left Handed;0;20;1;9;3;12;7;9;7;4;8;7;6;1;7;10;6;4;10;10;8;10;3;2;3;11;11;11;1;1;1;1;1;
8118;Anton Ruban;HK Vitebsk;HK Vitebsk;RW;23;Right Handed;0;14;8;10;4;14;7;10;11;11;12;11;8;6;12;12;5;5;5;11;5;10;9;5;6;5;12;10;1;1;1;1;1;
8119;Mark Rubinchik;New Jersey Devils;New Jersey Devils;LD;21;Left Handed;6;12;13;11;12;8;11;15;8;12;14;10;12;14;14;15;11;12;8;8;1;13;16;15;14;18;11;12;1;1;1;1;1;
8120;German Rubtsov;Traktor Chelyabinsk;Traktor Chelyabinsk;C;22;Left Handed;0;14;10;11;9;13;5;14;11;14;14;10;11;10;14;14;9;13;8;9;15;12;12;11;14;5;10;10;1;1;1;1;1;
8121;Igor Rudenkov;Lada Togliatti;Lada Togliatti;C, RW;25;Left Handed;0;12;7;11;7;13;9;10;14;11;12;12;10;14;12;12;12;9;8;10;4;10;14;6;9;8;10;11;1;1;1;1;1;
8122;Roman Rukavishnikov;Torpedo Nizhny Novgorod;Torpedo Nizhny Novgorod;LD, RD;28;Left Handed;0;12;6;9;9;8;8;14;11;13;11;10;13;13;11;12;13;13;8;9;1;9;11;13;14;13;8;9;1;1;1;1;1;
8123;Marli Chapman;Harvard Crimson;Harvard Crimson;G;18;Left Handed;34;14;4;3;12;1;12;19;1;13;4;11;9;1;1;9;1;1;1;1;1;1;3;2;7;1;1;1;4;3;4;2;8;
